id,car_valuation
247,1041969
597,646849
736,959183
3,970227
443,646849
499,974339
748,1032625
773,657083
446,1031912
526,975700
160,786026
670,666841
665,955362
435,1160539
318,657083
589,974339
460,914382
437,1601835
385,821281
427,2468270
349,646849
397,666841
461,914382
296,666841
738,870955
102,646849
204,974339
265,901919
333,1041969
326,646849
721,646849
313,657083
614,646849
321,646849
452,657083
568,1164401
105,975700
365,1044452
192,657083
98,948323
541,646849
745,666841
513,1046187
622,646849
659,646849
509,901919
751,646849
2,901919
228,948323
220,786026
21,974339
389,974339
329,970227
208,1041969
310,901919
422,955362
514,666841
417,675852
715,657083
703,646849
776,888113
81,657083
305,657083
546,970227
391,1041969
104,2353160
549,914382
73,1069351
666,646849
136,901919
