id,car_valuation
247,686477
597,691704
736,687687
3,689570
443,712000
499,677861
748,674844
773,687148
446,679661
526,679001
160,711822
670,679089
665,675732
435,676970
318,693000
589,700432
460,706146
437,712906
385,717700
427,692706
349,689516
397,706716
461,702353
296,716071
738,675914
102,692069
204,680329
265,714761
333,681058
326,681617
721,689974
313,693465
614,677640
321,701530
452,685750
568,673049
105,716849
365,699093
192,705179
98,716599
541,692895
745,706698
513,715536
622,680029
659,677269
509,682882
751,711872
2,678945
228,690473
220,710987
21,678329
389,687369
329,674922
208,685783
310,679879
422,676154
514,694495
417,704119
715,704294
703,711753
776,685749
81,688068
305,697320
546,687259
391,697378
104,709772
549,679287
73,677134
666,686462
136,674454
