id,car_valuation
247,625305
597,357062
736,618478
3,501279
443,493255
499,644385
748,1174492
773,210848
446,715013
526,727286
160,679326
670,678541
665,534732
435,1318796
318,562735
589,660082
460,489008
437,1004383
385,818318
427,821441
349,236054
397,627203
461,638313
296,657123
738,444776
102,318346
204,649660
265,889811
333,776259
326,374034
721,347850
313,904277
614,446404
321,405003
452,547432
568,862831
105,664693
365,763893
192,546078
98,540102
541,282491
745,341649
513,963801
622,449363
659,745882
509,538046
751,424314
2,500084
228,467025
220,548932
21,624315
389,628784
329,629008
208,753021
310,563884
422,626790
514,464960
417,401368
715,377585
703,567040
776,775924
81,407974
305,359599
546,773990
391,759767
104,2640484
549,627923
73,937598
666,256557
136,564654
