id,car_valuation
247,732999
597,470867
736,1011607
3,1486595
443,424724
499,749875
748,833714
773,488454
446,749875
526,677900
160,355363
670,789500
665,820000
435,1276320
318,470867
589,574200
460,468734
437,2345300
385,596948
427,1952066
349,483178
397,434348
461,728623
296,780684
738,448700
102,318839
204,1064900
265,723300
333,660000
326,342655
721,470867
313,464200
614,321141
321,453100
452,281093
568,908899
105,1568000
365,1011945
192,434348
98,908596
541,251593
745,322098
513,1638500
622,473300
659,339132
509,728623
751,400334
2,377200
228,550843
220,410921
21,639070
389,738170
329,946342
208,900900
310,728623
422,472896
514,334426
417,424724
715,545000
703,358100
776,725391
81,368048
305,407596
546,596948
391,1011945
104,1952066
549,660000
73,788930
666,251593
136,376062
