id,car_valuation
247,1012996
597,406575
736,1005285
3,642451
443,396807
499,697181
748,1132530
773,353459
446,733482
526,720594
160,558388
670,466112
665,634266
435,1417202
318,379263
589,667556
460,503484
437,1736305
385,634146
427,2173986
349,318122
397,523526
461,560133
296,579907
738,597828
102,277143
204,1009073
265,816206
333,776940
326,394984
721,359891
313,462738
614,503064
321,408523
452,429304
568,897240
105,896886
365,1034766
192,372760
98,820770
541,232249
745,487195
513,1507906
622,445349
659,439396
509,563482
751,404736
2,516233
228,513381
220,477679
21,697181
389,697181
329,751308
208,1050686
310,573365
422,695357
514,406920
417,420243
715,400437
703,408386
776,618979
81,432944
305,369449
546,852669
391,936318
104,2039583
549,619852
73,1261280
666,266867
136,584427
