id,car_valuation
247,933469
597,389057
736,879865
3,705844
443,533696
499,735092
748,1086228
773,398148
446,700454
526,701991
160,744916
670,567209
665,693674
435,1190226
318,345194
589,707209
460,468697
437,1580432
385,630563
427,1932352
349,379097
397,484904
461,640880
296,619415
738,583953
102,341826
204,919178
265,770020
333,783935
326,363505
721,385762
313,464065
614,474836
321,419635
452,368435
568,816095
105,782579
365,807564
192,450759
98,693141
541,296667
745,480258
513,1378369
622,392352
659,411377
509,634970
751,542988
2,531009
228,462337
220,445044
21,619443
389,625775
329,717804
208,1024966
310,613345
422,623420
514,348862
417,424038
715,437223
703,499766
776,648398
81,387219
305,381390
546,828705
391,820148
104,2018992
549,626235
73,983858
666,327501
136,532012
