id,car_valuation
247,888984
597,403887
736,1009233
3,480501
443,611830
499,808370
748,1043748
773,438588
446,712151
526,679240
160,670693
670,603478
665,418346
435,1128445
318,516674
589,651216
460,473324
437,1129010
385,478115
427,1431692
349,377319
397,530447
461,547892
296,565800
738,574846
102,347381
204,878426
265,920027
333,938071
326,586333
721,362292
313,579969
614,671665
321,390553
452,449975
568,721507
105,839851
365,890585
192,396240
98,727680
541,297719
745,481100
513,1368874
622,454537
659,435656
509,410237
751,556013
2,438456
228,402775
220,548568
21,575110
389,686804
329,565872
208,883138
310,551286
422,616567
514,516064
417,493484
715,470032
703,739487
776,568873
81,408956
305,363412
546,975151
391,833826
104,1349892
549,626631
73,717810
666,380636
136,417663
