id,car_valuation
247,676642
597,476374
736,721758
3,851753
443,671351
499,592511
748,883698
773,553375
446,603218
526,679078
160,901159
670,211399
665,832608
435,789398
318,629085
589,629055
460,415796
437,1022184
385,920192
427,884744
349,358142
397,650460
461,769128
296,613209
738,633770
102,372746
204,610256
265,892211
333,605910
326,592630
721,383264
313,623265
614,618003
321,397747
452,657844
568,846681
105,646405
365,697644
192,668701
98,617694
541,628420
745,269243
513,794583
622,662004
659,583556
509,840092
751,665039
2,760099
228,861269
220,637466
21,663796
389,665017
329,845958
208,737371
310,718104
422,855970
514,651523
417,676240
715,642754
703,159000
776,880494
81,620174
305,538176
546,922758
391,637884
104,798131
549,445685
73,860472
666,630201
136,839206
