id,car_valuation
247,607786
597,607785
736,607786
3,607784
443,607782
499,607791
748,607793
773,607784
446,607789
526,607791
160,607782
670,607788
665,607791
435,607791
318,607783
589,607781
460,607781
437,607782
385,607783
427,607783
349,607785
397,607781
461,607781
296,607783
738,607791
102,607783
204,607788
265,607783
333,607788
326,607789
721,607785
313,607783
614,607791
321,607781
452,607786
568,607794
105,607783
365,607782
192,607781
98,607783
541,607783
745,607781
513,607783
622,607790
659,607791
509,607788
751,607783
2,607790
228,607784
220,607782
21,607791
389,607786
329,607793
208,607787
310,607789
422,607791
514,607782
417,607781
715,607781
703,607782
776,607786
81,607785
305,607781
546,607786
391,607782
104,607782
549,607788
73,607791
666,607785
136,607793
