id,car_valuation
247,857725
597,541322
736,755360
3,829482
443,580179
499,691411
748,915818
773,530467
446,694174
526,696350
160,708166
670,655980
665,681479
435,726402
318,540943
589,715981
460,627255
437,1182487
385,655483
427,1299173
349,553616
397,580179
461,704764
296,689926
738,665292
102,541050
204,825113
265,749226
333,732526
326,540943
721,540943
313,540943
614,595252
321,577444
452,548526
568,711368
105,703545
365,703545
192,612788
98,703545
541,530467
745,609959
513,930655
622,571675
659,553616
509,682103
751,579147
2,726085
228,583526
220,585504
21,643394
389,707135
329,746856
208,861515
310,714100
422,631983
514,530467
417,678059
715,680118
703,620030
776,622685
81,541322
305,577444
546,629044
391,703545
104,1299173
549,680617
73,915818
666,532526
136,630736
