id,car_valuation
247,879920
597,425052
736,1364291
3,658429
443,512923
499,885904
748,1069460
773,154640
446,784524
526,720309
160,762187
670,318704
665,514448
435,1294231
318,635811
589,720633
460,526726
437,1652307
385,333546
427,1550230
349,299512
397,747868
461,623163
296,508465
738,583964
102,279484
204,856629
265,747762
333,902328
326,561386
721,377170
313,766273
614,428219
321,394772
452,361392
568,786315
105,865109
365,751870
192,933743
98,707439
541,311365
745,335213
513,1560934
622,522895
659,469635
509,586285
751,367880
2,391582
228,530629
220,508832
21,548112
389,669940
329,760322
208,947203
310,548613
422,444865
514,368976
417,380742
715,428142
703,728100
776,712332
81,318141
305,326487
546,853945
391,823569
104,1956911
549,513404
73,900183
666,368899
136,535598
