id,car_valuation
247,712732
597,517634
736,740105
3,576701
443,569888
499,744395
748,966387
773,523129
446,666197
526,684199
160,520418
670,628286
665,488599
435,1065487
318,576238
589,591154
460,492025
437,1044382
385,484768
427,953605
349,411115
397,536314
461,556078
296,640609
738,653446
102,395131
204,746482
265,963600
333,844395
326,588340
721,392465
313,629963
614,586075
321,522130
452,493810
568,638788
105,741900
365,810675
192,468675
98,699142
541,318791
745,496488
513,1560162
622,496609
659,597342
509,530751
751,583115
2,463159
228,514337
220,561690
21,611727
389,694753
329,539626
208,758951
310,531931
422,597472
514,525219
417,535511
715,574463
703,670609
776,599595
81,428394
305,476534
546,1064532
391,762820
104,909954
549,680054
73,827158
666,424216
136,480130
