id,car_variant,odometer_reading,vehicle_fuel_type,vehicle_make,vehicle_model,city,car_valuation,months_since_manufactured
90,LXI OPTION,,PETROL,MARUTI,SWIFT ,NEW DELHI,334426,9
303,VXI OPTIONAL,148832.0,PETROL,MARUTI,ALTO K10,UDAIPUR,227600,9
559,LXI BS IV,25000.0,PETROL + CNG,MARUTI,WAGON R,THANE,425851,9
605,RXL,,PETROL + CNG,RENAULT,KWID,SURAT,390298,5
445,RXT,,PETROL,RENAULT,KWID ,MANDYA,368048,8
324,KWID RXT,,PETROL,RENAULT,KWID RXT,TIRUKOVILUR,331739,8
414,SHARP CVT,8536.0,PETROL,MG,HECTOR,DELHI,1726828,2
29,RENAULT DUSTER RXL,,DIESEL,RENAULT INDIA PVT LTD,RENAULT DUSTER RXL,COIMBATORE,550843,12
143,VXI,,PETROL,MARUTI,RITZ,BANGALORE,281093,9
390,ZDI PLUS,142729.0,DIESEL,MARUTI,ERTIGA,UDAIPUR,964535,5
501,ASTA,84123.0,DIESEL,HYUNDAI,I20,NAGPUR,408000,9
180,SPORTZ VTVT BSIV,,PETROL,HYUNDAI,I20,CHENNAI,571926,8
165,VTVT SX 1 6,,PETROL,HYUNDAI,VERNA,CHENNAI,483178,11
221,XV DCI BSIV,,DIESEL,NISSAN,SUNNY DCI XV BSIV,CHENNAI,472896,10
623,VXI OPTIONAL,113270.0,PETROL,MARUTI,CELERIO,ASHOK NAGAR,574000,3
283,1.5 TDI MT,,DIESEL,SKODA,RAPID,RAJKOT,619821,7
734,EX 4X2,70357.0,DIESEL,TATA,SAFARI,LUCKNOW,728623,8
719,1.5  MT,25000.0,PETROL,HONDA,CITY,KALYAN,595172,9
392,SPORTZ,101200.0,PETROL,HYUNDAI,GRAND I10 NIOS,BANGALORE,489644,8
209,1.2 REVOTRON XT,47971.0,PETROL,TATA,TIAGO,NAGPUR,543951,4
383,BMW 5200,,DIESEL,BMW,BMW,SOUTH DELHI,2612364,10
627,LXI,1157.0,PETROL,MARUTI,SWIFT,DELHI,604039,1
239,S CNG,25634.0,PETROL + CNG,HYUNDAI,AURA,BHIWANDI,806500,2
648,7 SEATER STD,50999.0,PETROL + CNG,MARUTI,EECO,SONIPAT,468734,5
126,SPORTZ,41044.0,PETROL,HYUNDAI,I20,MORBI,692792,4
477,RXT,68601.0,PETROL + CNG,RENAULT,KWID,RAJKOT,328780,7
555,ZXI,27503.0,PETROL,MARUTI,SWIFT,PUNE,704976,2
753,CNG LXI,92058.0,PETROL + CNG,MARUTI,WAGON R,KOLHAPUR,573100,4
440,1.2 HIGHLINE,,PETROL,VOLKSWAGEN,AMEO,RAJKOT,398041,7
167,VXI 1.2,94525.0,PETROL,MARUTI,DZIRE,MAHABUBNAGAR,660000,3
211,GTX PLUS,91825.0,PETROL,KIA,SELTOS,CUDDAPAH,1638500,4
345,ZETA,,PETROL,MARUTI,XL6,BANGALORE,926146,5
