id,car_valuation
247,727120
597,529276
736,668507
3,633600
443,528066
499,650892
748,981987
773,443201
446,676441
526,701972
160,765825
670,570461
665,720065
435,957362
318,423531
589,624281
460,494945
437,1223287
385,726421
427,721728
349,381768
397,488658
461,582033
296,547911
738,640979
102,381101
204,693810
265,833170
333,679564
326,434328
721,394476
313,488767
614,551255
321,468189
452,420973
568,880122
105,625052
365,722795
192,475061
98,568524
541,347162
745,508259
513,816621
622,450746
659,399647
509,589456
751,525652
2,518512
228,536480
220,596668
21,687309
389,644055
329,820625
208,846128
310,580155
422,655876
514,392725
417,469320
715,491299
703,599864
776,630852
81,525659
305,428806
546,917809
391,654476
104,730763
549,635460
73,766464
666,403581
136,619320
